#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: May 6, 2015
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=8 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
mhp tb xsec unc- unc+
340 20 0.022446 0.00468343 0.00458522 
340 25 0.0345984 0.00722761 0.0070756 
340 30 0.0495108 0.0103523 0.0101343 
340 35 0.0672427 0.0140459 0.0137496 
340 40 0.0877625 0.0183367 0.0179497 
340 45 0.11109 0.0232281 0.0227384 
340 50 0.136742 0.0285927 0.0279882 
340 55 0.166087 0.0347003 0.0339685 
340 60 0.197667 0.041329 0.0404581 
360 0.1 18.7821 3.9206 3.88208 
360 0.2 4.69811 0.983122 0.973465 
360 0.3 2.08922 0.436825 0.432533 
360 0.4 1.02901 0.349352 0.348093 
360 0.6 0.722446 0.173269 0.171955 
360 0.7 0.504063 0.118502 0.11757 
360 0.8 0.37172 0.0857978 0.0851003 
360 0.9 0.285511 0.0651331 0.0645927 
360 1 0.226412 0.0509476 0.0505156 
360 2 0.170448 0.0512536 0.0510064 
360 3 0.0438983 0.0119361 0.011865 
360 4 0.0201815 0.00511729 0.00508226 
360 5 0.0119592 0.00285775 0.00283579 
360 6 0.00840802 0.00190065 0.00188436 
360 7 0.00674492 0.00144418 0.00143038 
360 8 0.0060404 0.00125553 0.00124249 
360 9 0.0058825 0.00127825 0.00126495 
360 10 0.00609548 0.00136561 0.00135134 
360 11 0.00655347 0.0014954 0.00147969 
360 12 0.00721811 0.00166043 0.00164282 
360 13 0.00804931 0.00186218 0.00184234 
360 14 0.0090103 0.00210219 0.00207988 
360 15 0.0101284 0.00234308 0.00231785 
360 16 0.0113524 0.00262369 0.00259531 
360 17 0.0127009 0.00292081 0.00288902 
360 18 0.0141508 0.00325111 0.00321567 
360 19 0.0157012 0.00359632 0.003557 
360 20 0.0173524 0.00396254 0.00391909 
360 25 0.0204823 0.00601164 0.00595287 
360 30 0.0310696 0.00862401 0.00853733 
360 35 0.0439069 0.0117555 0.0116354 
360 40 0.0591843 0.0153805 0.015221 
360 45 0.0767764 0.0194623 0.019258 
360 50 0.0966321 0.0240908 0.0238362 
360 55 0.119048 0.029201 0.0288902 
360 60 0.143077 0.034668 0.0342955 
360 2.04796e-38 0.228224 0.111555 0.110653 
380 0.1 15.8631 3.35602 3.33183 
380 0.2 3.9613 0.839129 0.833065 
380 0.3 1.76068 0.373106 0.370411 
380 0.4 0.993792 0.210394 0.208879 
380 0.5 0.634241 0.134498 0.133528 
380 0.6 0.440851 0.0932879 0.0926142 
380 0.7 0.323391 0.0684783 0.0679834 
380 0.8 0.247844 0.0525322 0.0521527 
380 0.9 0.19601 0.0415036 0.0412042 
380 1 0.158794 0.0336895 0.0334467 
380 2 0.0397995 0.0084382 0.0083773 
380 3 0.01798 0.00381374 0.00378626 
380 4 0.0105323 0.0022343 0.00221814 
380 5 0.00729052 0.00154774 0.00153641 
380 6 0.00577741 0.00122843 0.0012193 
380 7 0.00510919 0.00108757 0.00107932 
380 8 0.004927 0.00104958 0.00104143 
380 9 0.00506521 0.00108282 0.00107427 
